transaction_id,transaction_date,transaction_time,product_id,product_name,product_category,unit_price,quantity_sold,quantity_returned,final_quantity,discount_percentage,revenue,branch_id,branch_name,branch_city,branch_region,employee_id,employee_name,employee_position,payment_method,customer_id,customer_name
1,2024-03-02,00:00:00,40,Chips,Snacks,26.86,10,0,10,0.02,268.6,2,Westside,Los Angeles,West,2,Megan Mcclain,Cashier,Mobile Payment,,
2,2024-05-20,00:00:00,17,Lettuce,Produce,2.7,3,0,3,0.17,8.1,2,Westside,Los Angeles,West,16,Margaret Hawkins DDS,Sales Associate,Mobile Payment,,
3,2024-04-05,00:00:00,26,Salmon,Seafood,24.72,8,0,8,0.09,197.76,3,Northgate,Chicago,Midwest,13,Holly Wood,Cashier,Credit Card,174.0,Kevin Hurst
4,2024-02-28,00:00:00,3,Yogurt,Dairy,29.57,10,0,10,0.01,295.7,5,Eastville,Miami,Southeast,18,Daniel Hahn,Stocker,Cash,464.0,Daniel Bright
5,2024-05-11,00:00:00,5,Cream,Dairy,31.69,4,0,4,0.1,126.76,3,Northgate,Chicago,Midwest,3,Allen Robinson,Manager,Gift Card,479.0,Ann Williams
6,2024-04-14,00:00:00,61,Soap,Household,36.75,4,0,4,0.13,147.0,2,Westside,Los Angeles,West,16,Margaret Hawkins DDS,Sales Associate,Debit Card,240.0,Mark Conner
7,2024-04-13,00:00:00,7,Bread,Bakery,46.94,6,0,6,0.02,281.64,1,Downtown,New York,East,2,Megan Mcclain,Cashier,Credit Card,230.0,Arthur James
8,2024-03-12,00:00:00,18,Potatoes,Produce,31.88,8,0,8,0.18,255.04,4,Southcenter,Houston,South,6,Melissa Peterson,Sales Associate,Mobile Payment,,
9,2024-01-04,00:00:00,13,Apples,Produce,4.03,2,0,2,0.17,8.06,1,Downtown,New York,East,18,Daniel Hahn,Stocker,Credit Card,247.0,Kendra Maddox DVM
10,2024-02-12,00:00:00,28,Shrimp,Seafood,13.52,7,4,3,0.05,40.56,4,Southcenter,Houston,South,2,Megan Mcclain,Cashier,Mobile Payment,357.0,Nathan Maldonado
11,2024-03-16,00:00:00,63,Shampoo,Personal Care,17.0,4,0,4,0.12,68.0,2,Westside,Los Angeles,West,7,Gabrielle Davis,Cashier,Gift Card,161.0,Debra Davidson
12,2024-05-02,00:00:00,8,Bagels,Bakery,5.35,9,0,9,0.11,48.15,1,Downtown,New York,East,19,Matthew Foster,Cashier,Cash,,
13,2024-01-18,00:00:00,11,Cake,Bakery,29.78,4,0,4,0.19,119.12,2,Westside,Los Angeles,West,3,Allen Robinson,Manager,Gift Card,305.0,Jeffrey Chavez
14,2024-04-17,00:00:00,6,Eggs,Dairy,13.74,10,0,10,0.06,137.4,5,Eastville,Miami,Southeast,3,Allen Robinson,Manager,Debit Card,367.0,Sherri Baker
15,2024-04-11,00:00:00,41,Pretzels,Snacks,20.67,3,0,3,0.06,62.01,2,Westside,Los Angeles,West,9,Valerie Gray,Cashier,Debit Card,,
16,2024-05-24,00:00:00,10,Cookies,Bakery,29.36,2,0,2,0.04,58.72,1,Downtown,New York,East,15,Nicholas Martin,Sales Associate,Debit Card,179.0,Cassandra Gaines
17,2024-03-13,00:00:00,9,Muffins,Bakery,5.11,3,0,3,0.11,15.33,2,Westside,Los Angeles,West,12,David Garcia,Cashier,Debit Card,414.0,Elizabeth Fowler
18,2024-01-27,00:00:00,2,Cheese,Dairy,17.68,3,0,3,0.18,53.04,5,Eastville,Miami,Southeast,10,Lisa Hensley,Stocker,Gift Card,145.0,Brittany Farmer
19,2024-03-08,00:00:00,27,Tuna,Seafood,7.39,9,0,9,0.18,66.51,3,Northgate,Chicago,Midwest,7,Gabrielle Davis,Cashier,Cash,217.0,Paula Moreno
20,2024-03-26,00:00:00,36,Tea,Beverages,10.85,3,0,3,0.05,32.55,1,Downtown,New York,East,1,Allison Hill,Cashier,Mobile Payment,219.0,Fred Smith
21,2024-02-08,00:00:00,2,Cheese,Dairy,18.97,9,6,3,0.12,56.91,1,Downtown,New York,East,3,Allen Robinson,Manager,Credit Card,22.0,Sherry Decker
22,2024-04-01,00:00:00,40,Chips,Snacks,23.85,4,0,4,0.13,95.4,3,Northgate,Chicago,Midwest,2,Megan Mcclain,Cashier,Debit Card,,
